(-10,731100; -167,183400)
(10,731100; -164,725500)
(-10,731100; -167,183400)
(-10,731100; -170,540900)
(10,731100; -167,183400)
(-10,731100; -170,540900)
(-10,731100; -173,898400)
(10,731100; -170,540900)
(-10,731100; -173,898400)
(-10,731100; -176,356300)
(10,731100; -173,898400)
(-10,731100; -176,356300)
(-10,731100; -177,255900)
(10,731100; -176,356300)
(-10,731100; -177,255900)
(-10,731100; -176,356300)
(10,731100; -177,255900)
(-10,731100; -176,356300)
(-10,731100; -173,898400)
(10,731100; -176,356300)
(-10,731100; -173,898400)
(-10,731100; -170,540900)
(10,731100; -173,898400)
(-10,731100; -170,540900)
(-10,731100; -167,183400)
(10,731100; -170,540900)
(-10,731100; -167,183400)
(-10,731100; -164,725500)
(10,731100; -167,183400)
(-10,731100; -164,725500)
(-10,731100; -163,825900)
(10,731100; -164,725500)
(-10,731100; -163,825900)
(-10,731100; -164,725500)
(10,731100; -163,825900)
(-10,731100; -164,725500)
(-10,731100; -167,183400)
(-10,731100; -164,725500)
(-10,731100; -167,183400)
(-10,731100; -170,540900)
(-10,731100; -167,183400)
(-10,731100; -170,540900)
(-10,731100; -173,898400)
(-10,731100; -170,540900)
(-10,731100; -173,898400)
(-10,731100; -176,356300)
(-10,731100; -173,898400)
(-10,731100; -176,356300)
(-10,731100; -177,255900)
(-10,731100; -176,356300)
(-10,731100; -177,255900)
(-10,731100; -176,356300)
(-10,731100; -177,255900)
(-10,731100; -176,356300)
(-10,731100; -173,898400)
(-10,731100; -176,356300)
(-10,731100; -173,898400)
(-10,731100; -170,540900)
(-10,731100; -173,898400)
(-10,731100; -170,540900)
(-10,731100; -167,183400)
(-10,731100; -170,540900)
(-10,731100; -167,183400)
(-10,731100; -164,725500)
(-10,731100; -167,183400)
(-10,731100; -164,725500)
(-10,731100; -163,825900)
(-10,731100; -164,725500)
(-10,731100; -163,825900)
(-10,731100; -164,725500)
(-10,731100; -163,825900)
(-10,731100; -164,725500)
(10,731100; -164,725500)
(10,731100; -167,183400)
(10,731100; -164,725500)
(10,731100; -167,183400)
(10,731100; -170,540900)
(10,731100; -167,183400)
(10,731100; -170,540900)
(10,731100; -173,898400)
(10,731100; -170,540900)
(10,731100; -173,898400)
(10,731100; -176,356300)
(10,731100; -173,898400)
(10,731100; -176,356300)
(10,731100; -177,255900)
(10,731100; -176,356300)
(10,731100; -177,255900)
(10,731100; -176,356300)
(10,731100; -177,255900)
(10,731100; -176,356300)
(10,731100; -173,898400)
(10,731100; -176,356300)
(10,731100; -173,898400)
(10,731100; -170,540900)
(10,731100; -173,898400)
(10,731100; -170,540900)
(10,731100; -167,183400)
(10,731100; -170,540900)
(10,731100; -167,183400)
(10,731100; -164,725500)
(10,731100; -167,183400)
(10,731100; -164,725500)
(10,731100; -163,825900)
(10,731100; -164,725500)
(10,731100; -163,825900)
(10,731100; -164,725500)
(10,731100; -163,825900)
(1,142500; -146,154400)
(-0,000000; -146,602800)
(1,142500; -146,154400)
(1,142500; -146,500900)
(-0,000000; -147,508200)
(1,142500; -146,500900)
(1,615700; -146,327600)
(2,111100; -147,375600)
(1,615700; -146,327600)
(1,615700; -146,327600)
(2,111100; -146,735400)
(1,615700; -146,327600)
(2,111100; -146,735400)
(-0,000000; -147,553300)
(2,111100; -146,735400)
(2,111100; -147,375600)
(-0,000000; -148,736300)
(2,111100; -147,375600)
(2,985500; -147,055500)
(2,758200; -148,563100)
(2,985500; -147,055500)
(2,985500; -147,055500)
(2,758200; -147,726600)
(2,985500; -147,055500)
(2,758200; -147,726600)
(-0,000000; -148,789500)
(2,758200; -147,726600)
(2,758200; -148,563100)
(-0,000000; -150,070000)
(2,758200; -148,563100)
(3,900700; -148,144800)
(2,985500; -149,882500)
(3,900700; -148,144800)
(3,900700; -148,144800)
(2,985500; -148,977100)
(3,900700; -148,144800)
(-0,000000; -148,789500)
(2,758200; -150,296500)
(-0,000000; -148,789500)
(-0,000000; -150,070000)
(2,758200; -151,133000)
(-0,000000; -150,070000)
(2,985500; -149,882500)
(3,900700; -150,714700)
(2,985500; -149,882500)
(2,985500; -148,977100)
(3,900700; -150,714700)
(2,985500; -148,977100)
(-0,000000; -150,123200)
(2,111100; -151,483900)
(-0,000000; -150,123200)
(-0,000000; -151,306200)
(2,111100; -152,124200)
(-0,000000; -151,306200)
(2,758200; -151,133000)
(2,985500; -151,804000)
(2,758200; -151,133000)
(2,758200; -150,296500)
(2,985500; -151,804000)
(2,758200; -150,296500)
(-0,000000; -151,351300)
(1,142500; -152,358700)
(-0,000000; -151,351300)
(-0,000000; -152,256800)
(1,142500; -152,705200)
(-0,000000; -152,256800)
(2,111100; -152,124200)
(1,615700; -152,531900)
(2,111100; -152,124200)
(2,111100; -151,483900)
(1,615700; -152,531900)
(2,111100; -151,483900)
(-0,000000; -146,082600)
(1,142500; -146,154400)
(-0,000000; -146,082600)
(1,142500; -146,500900)
(-0,000000; -146,572600)
(1,142500; -146,500900)
(1,615700; -146,327600)
(1,142500; -146,500900)
(1,615700; -146,327600)
(1,142500; -146,154400)
(1,615700; -146,327600)
(1,142500; -146,154400)
(1,142500; -152,358700)
(-0,000000; -152,286900)
(1,142500; -152,358700)
(-0,000000; -152,776900)
(1,142500; -152,705200)
(-0,000000; -152,776900)
(1,142500; -152,705200)
(1,615700; -152,531900)
(1,142500; -152,705200)
(1,615700; -152,531900)
(1,142500; -152,358700)
(1,615700; -152,531900)
(7,494900; -144,864200)
(6,335200; -144,021000)
(7,494900; -144,864200)
(8,657800; -143,722300)
(6,594200; -143,602900)
(8,657800; -143,722300)
(2,120300; -146,875900)
(6,335200; -144,021000)
(2,120300; -146,875900)
(2,120300; -147,078100)
(5,990200; -145,002700)
(2,120300; -147,078100)
(7,494900; -145,249100)
(5,646100; -147,228500)
(7,494900; -145,249100)
(8,106300; -149,314300)
(5,646100; -147,228500)
(8,106300; -149,314300)
(5,474200; -149,402700)
(2,120300; -148,638800)
(5,474200; -149,402700)
(2,120300; -147,729300)
(5,646100; -147,228500)
(2,120300; -147,729300)
(6,594200; -154,598600)
(8,657800; -154,189300)
(6,594200; -154,598600)
(7,494900; -152,966800)
(6,335200; -154,031500)
(7,494900; -152,966800)
(5,990200; -152,940900)
(2,120300; -151,265400)
(5,990200; -152,940900)
(2,120300; -151,612700)
(6,335200; -154,031500)
(2,120300; -151,612700)
(7,494900; -152,966800)
(5,646100; -151,127900)
(7,494900; -152,966800)
(8,106300; -148,901300)
(5,646100; -151,127900)
(8,106300; -148,901300)
(5,474200; -148,953600)
(2,120300; -150,008600)
(5,474200; -148,953600)
(2,120300; -150,918100)
(5,646100; -151,127900)
(2,120300; -150,918100)
(8,425800; -145,872300)
(9,294800; -148,955800)
(8,425800; -145,872300)
(9,644700; -149,030300)
(9,713200; -145,324200)
(9,644700; -149,030300)
(10,119200; -145,041300)
(8,657800; -143,722300)
(10,119200; -145,041300)
(8,657800; -143,722300)
(8,425800; -145,872300)
(8,657800; -143,722300)
(8,106300; -149,314300)
(5,646100; -151,576900)
(8,106300; -149,314300)
(7,494900; -153,351700)
(5,646100; -151,576900)
(7,494900; -153,351700)
(2,120300; -151,367200)
(5,646100; -151,576900)
(2,120300; -151,367200)
(2,120300; -150,457700)
(5,474200; -149,402700)
(2,120300; -150,457700)
(8,106300; -148,901300)
(5,646100; -146,779400)
(8,106300; -148,901300)
(7,494900; -144,864200)
(5,646100; -146,779400)
(7,494900; -144,864200)
(2,120300; -147,280200)
(5,646100; -146,779400)
(2,120300; -147,280200)
(2,120300; -148,189700)
(5,474200; -148,953600)
(2,120300; -148,189700)
(9,644700; -149,030300)
(9,713200; -152,587400)
(9,644700; -149,030300)
(9,294800; -148,955800)
(8,425800; -151,930300)
(9,294800; -148,955800)
(8,425800; -151,930300)
(8,657800; -154,189300)
(8,425800; -151,930300)
(8,657800; -154,189300)
(10,119200; -153,019300)
(8,657800; -154,189300)
(9,644700; -149,186700)
(9,713200; -145,628900)
(9,644700; -149,186700)
(9,294800; -149,260500)
(8,425800; -146,285300)
(9,294800; -149,260500)
(8,425800; -146,285300)
(8,657800; -144,027000)
(8,425800; -146,285300)
(8,657800; -144,027000)
(10,119200; -145,197600)
(8,657800; -144,027000)
(6,594200; -143,759300)
(8,657800; -144,027000)
(6,594200; -143,759300)
(7,494900; -145,249100)
(6,335200; -144,325700)
(7,494900; -145,249100)
(5,990200; -145,415700)
(2,120300; -147,382800)
(5,990200; -145,415700)
(2,120300; -147,036300)
(6,335200; -144,325700)
(2,120300; -147,036300)
(7,494900; -153,351700)
(6,335200; -154,336200)
(7,494900; -153,351700)
(8,657800; -154,494000)
(6,594200; -154,755000)
(8,657800; -154,494000)
(2,120300; -151,773200)
(6,335200; -154,336200)
(2,120300; -151,773200)
(2,120300; -151,570200)
(5,990200; -153,353900)
(2,120300; -151,570200)
(9,644700; -149,186700)
(9,713200; -152,892100)
(9,644700; -149,186700)
(10,119200; -153,175700)
(8,657800; -154,494000)
(10,119200; -153,175700)
(8,657800; -154,494000)
(8,425800; -152,343300)
(8,657800; -154,494000)
(8,425800; -152,343300)
(9,294800; -149,260500)
(8,425800; -152,343300)
(10,119200; -145,041300)
(9,761400; -149,108600)
(10,119200; -145,041300)
(9,761400; -149,108600)
(10,119200; -145,197600)
(9,761400; -149,108600)
(9,083000; -143,438100)
(10,254500; -145,000400)
(9,083000; -143,438100)
(9,083000; -143,281700)
(10,254500; -145,000400)
(9,083000; -143,281700)
(9,083000; -143,281700)
(6,680500; -143,517000)
(9,083000; -143,281700)
(9,083000; -143,438100)
(6,680500; -143,517000)
(9,083000; -143,438100)
(6,594200; -143,759300)
(2,120300; -146,956100)
